id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ (khoảng thời gian để khắc phục và giải quyết). [1],Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,[LLM-Judge:openai/gpt-oss-120b] The answer directly matches the information in the retrieved context: Ticket P1 resolution time is stated as 4 hours. No unsupported or hallucinated content.,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly provides the SLA duration for P1 tickets (4 hours), which precisely addresses the user's question.",5,Retrieved: 1/1 expected sources,3,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes the resolution time (4 hours) but omits the initial response SLA of 15 minutes, so only part of the expected information is provided.",variant_hybrid_rerank_qexpand
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng **7 ngày làm việc** kể từ thời điểm xác nhận đơn hàng. [1],Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"[LLM-Judge:openai/gpt-oss-120b] The answer correctly states that customers can request a refund within 7 working days from order confirmation, which is directly supported by the retrieved context (see clause in [1]). No unsupported or hallucinated information is present.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly provides the number of days (7 working days) the customer can request a refund, fully addressing the question.",5,Retrieved: 1/1 expected sources,5,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes the exact key point: refund request within 7 working days from order confirmation, matching the expected answer.",variant_hybrid_rerank_qexpand
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Ai phê duyệt cấp quyền Level 3: Line Manager, IT Admin và IT Security. [1]","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer correctly states that Level 3 access is approved by Line Manager, IT Admin, and IT Security, which directly matches the information in the provided context (Section 2, Level 3). No unsupported or hallucinated content is present.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly lists the approvers (Line Manager, IT Admin, IT Security) for granting Level 3 permissions, fully addressing the question.",5,Retrieved: 1/1 expected sources,5,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes all required approvers (Line Manager, IT Admin, IT Security) matching the expected answer.",variant_hybrid_rerank_qexpand
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm kỹ thuật số (như license key, subscription) không được hoàn tiền. [1]","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer correctly states that digital products (license key, subscription) are non‑refundable, directly matching the exception listed in the provided context (section 3, exception). No unsupported or hallucinated information is present.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly addresses the question about refundability of digital products, providing a clear 'No' and examples, which is fully relevant.",5,Retrieved: 1/1 expected sources,5,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes all key points: states no refund, specifies digital products (license key, subscription) as non‑refundable, matching the expected answer.",variant_hybrid_rerank_qexpand
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. [1],Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly matches the statement in the provided context (Section 1, Q&A) that an account is locked after 5 consecutive failed login attempts. No hallucination or unsupported content.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly states that the account is locked after 5 consecutive failed login attempts, fully addressing the question.",5,Retrieved: 1/1 expected sources,5,[LLM-Judge:openai/gpt-oss-120b] Model answer contains the exact expected key point; no missing information.,variant_hybrid_rerank_qexpand
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra theo quy trình sau:

1. **Mở quyền tạm thời** – On‑call IT Admin có thể cấp quyền tạm thời (tối đa 24 h) khi cần khắc phục sự cố, nhưng chỉ sau khi Tech Lead phê duyệt bằng lời.  
2. **Theo dõi và thu hồi** – Sau 24 h, quyền phải được ghi vào ticket chính thức hoặc sẽ bị thu hồi tự động.  
3. **Ghi log** – Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit.  

Quy trình này được áp dụng khi cần thay đổi quyền hệ thống ngoài quy trình thông thường, đặc biệt trong các trường hợp khẩn cấp P1.  
[1]",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"[LLM-Judge:openai/gpt-oss-120b] The answer accurately reflects the escalation process described in the provided context, including all three steps and the conditions for temporary permission granting. No unsupported or hallucinated information is present.",2,"[LLM-Judge:openai/gpt-oss-120b] The answer describes a temporary permission escalation process rather than the overall P1 incident escalation workflow. It does not directly address the steps or parties involved in a P1 escalation, making it largely irrelevant to the question.",5,Retrieved: 1/1 expected sources,1,"[LLM-Judge:openai/gpt-oss-120b] The model answer does not mention the automatic escalation of a P1 ticket to a Senior Engineer after 10 minutes of no response, which is the core point of the expected answer. Instead, it describes a temporary permission process unrelated to the escalation rule, so virtually all key points are missing.",variant_hybrid_rerank_qexpand
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Tài liệu “Approval Matrix” để cấp quyền hệ thống là **it/access-control-sop.md** (trước đây được gọi là “Approval Matrix for System Access”). [3],Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,4,Token overlap answer/context = 0.77,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly provides the specific document name/path for the Approval Matrix, fully addressing the question.",5,Retrieved: 1/1 expected sources,5,"[LLM-Judge:openai/gpt-oss-120b] The model answer includes the document name (Access Control SOP), the file path (it/access-control-sop.md), and notes the former name 'Approval Matrix for System Access', fully covering the expected answer.",variant_hybrid_rerank_qexpand
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa **2 ngày mỗi tuần** [2].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer correctly states that employees can work remotely up to 2 days per week, which is directly supported by the retrieved context in section 4.1 of the Remote work policy (source [2]). No hallucination or unsupported claim.",5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly and correctly states the maximum number of remote days per week, matching the question.",5,Retrieved: 1/1 expected sources,2,"[LLM-Judge:openai/gpt-oss-120b] Model answer includes the correct number of remote days (2 per week) but omits the important conditions that it applies after the probation period and requires Team Lead approval, thus missing key parts of the expected answer.",variant_hybrid_rerank_qexpand
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không có thông tin trong ngữ cảnh được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",3,Token overlap answer/context = 0.60,1,"[LLM-Judge:openai/gpt-oss-120b] The answer does not address the question about the ERR-403-AUTH error or its handling; it merely states lack of context, which is irrelevant.",,No expected sources,2,"Expected coverage=0.18; missing sample=['403', 'auth', 'authentication', 'err', 'helpdesk', 'hiện', 'hãy', 'hệ']",variant_hybrid_rerank_qexpand
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không, quy trình hoàn tiền khẩn cấp cho khách hàng VIP vẫn giống quy trình tiêu chuẩn. Theo Điều 4 của policy/refund‑v4.pdf, khách hàng (bao gồm VIP) gửi yêu cầu qua hệ thống ticket với category “Refund Request”, CS Agent xem xét trong 1 ngày làm việc, xác nhận điều kiện, chuyển sang Finance Team và hoàn tiền trong 3‑5 ngày làm việc. Không có quy định riêng cho VIP trong tài liệu. [2][3]","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",4,Token overlap answer/context = 0.77,5,"[LLM-Judge:openai/gpt-oss-120b] The answer directly addresses the question by stating that the urgent refund process for VIP customers is the same as the standard process, providing relevant policy details. It is fully relevant and correct.",5,Retrieved: 1/1 expected sources,4,"Expected coverage=0.63; missing sample=['biệt', 'chính', 'cùng', 'cả', 'cập', 'hiện', 'hành', 'sách']",variant_hybrid_rerank_qexpand
